"","datno","setno","division","subdivision","calage","calspan","calsigI","calsigD","calsigC","calseqno","c14age","c14sig","c14addsig","c14mulsig","ReservoirAge","ReservoirSig","labid","Date_Modified","F","sdF"
"1",1,1,1,0,64,1,0,0,0,1,128,45.5,0,1,-14,3,"QL-11959","2018-05-24",0.984192007756313,0.00557459683218128
"2",2,1,1,0,63,1,0,0,0,2,102,41.6,0,1,-14,3,"QL-11958","2018-05-24",0.987382652373085,0.0051132974403984
"3",3,1,1,0,62,1,0,0,0,3,112,35.1,0,1,-14,3,"QL-11957","2018-05-24",0.986154259085026,0.00430897728045368
"4",4,1,1,0,61,1,0,0,0,4,113,19.5,0,1,-14,3,"QL-11956","2018-05-24",0.986031503840387,0.0023935782802051
"5",5,1,1,0,60,1,0,0,0,5,104,18.2,0,1,-14,3,"QL-11955","2018-05-24",0.987136851365548,0.00223651073009498
"6",6,1,1,0,59,1,0,0,0,6,90,18.2,0,1,-14,3,"QL-11954","2018-05-24",0.988858744265876,0.00224041194393613
"7",7,1,1,0,58,1,0,0,0,7,106,18.2,0,1,-14,3,"QL-11953","2018-05-24",0.986891111548205,0.00223595396865148
"8",8,1,1,0,57,1,0,0,0,8,72,18.2,0,1,-14,3,"QL-11952","2018-05-24",0.991077020679243,0.00224543779115676
"9",9,1,1,0,56,1,0,0,0,9,77,18.2,0,1,-14,3,"QL-11951","2018-05-24",0.990460334107971,0.00224404059265095
"10",10,1,1,0,55,1,0,0,0,10,75,18.2,0,1,-14,3,"QL-11950","2018-05-24",0.990706962675946,0.00224459936769603
"11",11,1,1,0,54,1,0,0,0,11,75,14.3,0,1,-14,3,"QL-11949","2018-05-24",0.990706962675946,0.00176361378890403
"12",12,1,1,0,53,1,0,0,0,12,99,18.2,0,1,-14,3,"QL-11948","2018-05-24",0.987751468649332,0.00223790324031095
"13",13,1,1,0,52,1,0,0,0,13,91,19.5,0,1,-14,3,"QL-11947","2018-05-24",0.988735652370315,0.00240014256457378
"14",14,1,1,0,51,1,0,0,0,14,103,16.9,0,1,-14,3,"QL-11946","2018-05-24",0.98725974421959,0.00207701850831708
"15",15,1,1,0,50,1,0,0,0,15,92,19.5,0,1,-14,3,"QL-11945","2018-05-24",0.988612575797079,0.00239984379783929
"16",16,1,1,0,49,1,0,0,0,16,48.6299639799921,13.6069054033472,0,1,-14,3,"QL-11944","2018-05-24",0.993964513486093,0.00168365257180247
"18",18,1,1,0,48,1,0,0,0,18,80.5448616808052,14.0577557769015,0,1,-14,3,"QL-11943","2018-05-24",0.990023352866996,0.00173254157948879
"20",20,1,1,0,47,1,0,0,0,20,94,18.2,0,1,-14,3,"QL-11942","2018-05-24",0.988366468609951,0.00223929661754028
"21",21,1,1,0,46,1,0,0,0,21,91,18.2,0,1,-14,3,"QL-11941","2018-05-24",0.988735652370315,0.00224013306026886
"22",22,1,1,0,45,1,0,0,0,22,105,18.2,0,1,-14,3,"QL-11940","2018-05-24",0.987013973809055,0.00223623233204591
"23",23,1,1,0,44,1,0,0,0,23,89,18.2,0,1,-14,3,"QL-11939","2018-05-24",0.988981851485669,0.00224069086232282
"24",24,1,1,0,43.5,4,0,0,0,24,120,19.5,0,1,-14,3,"QL-11938","2018-05-24",0.985172644873137,0.0023914934115556
"25",25,1,1,0,42,1,0,0,0,25,131,18.2,0,1,-14,3,"QL-11937","2018-05-24",0.983824520546286,0.0022290061339403
"26",26,1,1,0,41,1,0,0,0,26,107,16.9,0,1,-14,3,"QL-11936","2018-05-24",0.986768264581096,0.00207598452277113
"27",27,1,1,0,40,1,0,0,0,27,115,18.2,0,1,-14,3,"QL-11935","2018-05-24",0.985786039190462,0.0022334502568488
