"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
3430,3202.01294729362,3195.81772979296,3186.63076381953,3194.24505055508,3179.67071233634
3431,3201.0966775176,3195.45853490181,3186.03887289527,3194.09971922977,3180.44454073273
3432,3199.12017519022,3195.39948048208,3185.78010053772,3194.61400483424,3181.46934672063
3433,3196.33396996855,3195.53362320396,3185.83469090376,3195.62872760385,3182.68609342955
3434,3193.06192790566,3195.73585565934,3186.17118186182,3196.9407963712,3184.03406527328
3435,3189.62737229537,3195.88112416021,3186.75815321835,3198.34713873713,3185.45254416192
3436,3186.35295397551,3195.84442785718,3187.56421630306,3199.64465156704,3186.8808018767
3437,3183.56065168382,3195.50083731104,3188.55800479318,3200.63020282948,3188.25809703372
3438,3181.57190155338,3194.72553247879,3189.70816677032,3201.10068479548,3189.52367663959
3439,3180.70785498165,3193.39386005092,3190.98335800527,3200.85311857808,3190.61678224175
3440,3181.26864764766,3191.41958226623,3192.36170235453,3199.7254430845,3191.49559343066
3441,3183.26082708629,3189.24822403814,3193.95318779451,3198.12182274565,3192.38202329522
3442,3186.47584920353,3187.71442731904,3195.96458865819,3196.86097987478,3193.69143587579
3443,3190.70059260773,3187.66087124322,3198.60506361438,3196.77033606513,3195.84376423981
3444,3195.72150058499,3189.91232119751,3202.07874661075,3198.65913622969,3199.25072921202
3445,3201.30523780636,3194.6253967951,3206.39306816678,3202.66737627432,3204.00403888241
3446,3207.19311621328,3201.10646635288,3211.30493214853,3208.08363702797,3209.78789227608
3447,3213.12425931949,3208.60632656115,3216.55471053619,3214.14075410204,3216.25979063887
3448,3218.83715752134,3216.37398034096,3221.88229410974,3220.06996641481,3223.07654471345
3449,3224.06969568528,3223.65603143422,3227.0270244884,3225.10066851142,3229.89405264693
3450,3228.56807954049,3229.78854451594,3231.74749754434,3228.57782442801,3236.37842225902
3451,3232.18564670281,3235.22480515133,3236.04308655983,3231.27105362769,3242.33138942396
3452,3234.84823837649,3241.16444116132,3240.07456204195,3234.89940614991,3247.64570716586
3453,3236.70573046484,3248.12446414896,3244.08446380857,3240.18060270228,3252.28845023434
3454,3238.44614478111,3254.93182509733,3248.50565239855,3245.36444452896,3256.4027266671
3455,3240.77073622861,3260.25150382797,3253.68752930943,3248.55468858852,3260.12453454824
3456,3243.66533117888,3263.73244646439,3258.77507975573,3250.24606040794,3263.23069713083
3457,3246.68218559805,3265.62317008893,3262.18410423604,3252.38243175902,3265.28110280772
3458,3249.58336086812,3266.18206609614,3263.18554428817,3256.0248356267,3266.11135806445
3459,3252.60397565362,3265.66885470049,3262.94727126473,3260.25652140774,3266.16708129553
3460,3255.98889307553,3264.35497530175,3262.77266121486,3263.9511291018,3265.90909489253
3461,3259.47995059776,3262.61908515701,3262.87016761514,3266.48681237136,3265.17738979922
3462,3262.54209789068,3260.89928243112,3262.84768375244,3267.52537941877,3263.47558515306
3463,3264.77953582522,3259.72631982789,3262.69579091298,3267.3493280955,3261.03462774994
3464,3266.07917964971,3259.813967666,3263.17559628159,3267.46444835541,3259.5316197659
3465,3266.4370702908,3261.80038775999,3265.01381975183,3269.31659085512,3260.56768719051
3466,3266.48473883943,3265.5063558075,3267.88623555033,3272.64104794134,3263.68888088618
3467,3267.16494291008,3270.34374920341,3270.94511496366,3276.32164056137,3267.41842259141
3468,3268.82341811602,3275.72759124078,3273.59164659123,3279.6828170851,3270.76250557555
3469,3270.72823506925,3281.08380528301,3275.68265914419,3282.85453840821,3273.61129474919
3470,3272.14198171041,3285.76502260221,3277.12867743123,3285.85921093978,3275.93125985369
3471,3273.13105427677,3288.57354278174,3277.88545481343,3287.28138290707,3277.56792411844
3472,3274.12003891459,3288.07948029699,3277.92782297853,3285.07885834598,3278.30967951672
3473,3275.09272443248,3284.03244135655,3277.12360341414,3278.91804332358,3277.78082679725
3474,3275.30974334702,3278.10773461092,3275.165708473,3271.25470103001,3275.33844028643
3475,3274.14387347725,3272.05018662602,3271.92287486493,3264.60961680114,3270.59765787586
3476,3272.16218595626,3266.90153809303,3268.54221387324,3260.26710311635,3265.05136911744
