"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
726,805.426413144549,823.312863504551,791.14365769829,813.882708031431,813.730684685597
727,817.20277628905,823.8049176936,803.531658064749,815.741661134174,821.201151680841
728,826.392465760552,825.200253931832,815.612654120109,821.482419399492,826.150181088145
729,833.365014794067,827.923587345124,827.812243096593,829.132743831534,830.273986957161
730,839.634364434654,833.062055423462,839.646399577444,837.310810935529,835.628665307221
731,846.280074672377,840.954323188332,850.170194828122,844.794472381179,843.191823115582
732,853.430122127709,850.340768857553,857.493901668949,850.687482422656,851.654760586457
733,860.873035258509,859.676691347226,859.965361673825,854.262495545112,859.487335261291
734,866.415226066456,866.700268246515,859.186502003928,855.955867477197,865.808570733761
735,866.834893310895,868.788508747577,858.474418543212,856.821658672113,870.083338262824
736,862.034394914205,865.786724210961,859.678131750311,857.763673769785,871.79690693306
737,857.883263626049,862.250713741955,861.819810889857,859.387304380685,870.468445283687
738,859.921109777307,862.59462931068,863.767083178328,862.207064407792,866.058587286188
739,865.756152059475,865.907162789933,865.697122089062,866.275297985705,862.015520982758
740,869.218490219293,868.740883331568,868.408356728634,871.415816548628,863.408720653468
741,867.701702585314,869.754280352501,871.911956745883,876.942474996674,871.302736644927
742,864.825363817183,871.284729965619,874.847427666181,881.286687852246,879.804776040065
743,864.157105975971,875.510790872982,875.886937249003,882.976892823152,883.146203381965
744,864.482912728714,880.844881556409,874.923228711937,881.881442052693,881.534352108472
745,862.548656279526,884.081779723684,872.391638139919,878.462392071675,877.780894461054
746,857.6731441176,883.810929944455,869.329229079708,873.659798373421,874.15410369539
747,853.229766208435,881.46355424923,867.71393816046,869.158012525106,872.049653499406
748,852.939561039418,878.72016520296,869.604486182253,866.702523359404,872.785451745418
749,859.634440022033,877.203501233172,876.364609194624,867.685007777983,877.146710303692
750,870.456234262176,878.181077210044,884.888412846772,871.247281095579,882.498383478801
751,880.33534210435,882.729011130644,890.352214492417,875.655553241031,884.914495333289
752,886.410716673115,889.301206596793,890.700653183523,879.697729490306,883.552494738202
753,889.016840236536,892.586442636768,887.865502315449,882.9129703734,881.993597030927
754,888.740544986778,888.247255692477,883.936949132667,884.842923003133,883.188643307409
755,886.176550931018,879.222484544028,880.141395384935,884.713018258046,884.53760329338
756,881.934372640466,870.967550422911,877.366259053332,881.672430742576,881.566321147889
757,877.086715740334,866.633977354262,875.309542170359,876.228808260339,873.709483722127
758,873.307319418435,866.390884463201,872.122634861052,870.654473077343,865.487093015894
759,871.872700482002,869.73982609248,866.689155377659,866.838998680185,860.88309654859
760,871.825957497185,873.750174073773,862.173373488918,864.125065260882,859.453886892181
