"calageBP","realisation_1","realisation_2","realisation_3","realisation_4","realisation_5"
726,-12.3685431052992,-14.5651780780609,-10.6109623261856,-13.4076702664299,-13.3889989747366
727,-13.6960492932054,-14.5063372262666,-12.0160594602994,-13.516635037241,-14.1868537440599
728,-14.7045512329228,-14.5583084764408,-13.3814553640019,-14.1021206138196,-14.6748331219889
729,-15.4403170224312,-14.773165895034,-14.7595097140626,-14.9214546741482,-15.0613942065334
730,-16.0894067726113,-15.2840774393832,-16.0908808788745,-15.8047684591603,-15.5986520569457
731,-16.7841351209315,-16.1320624770779,-17.2601592567639,-16.6022849010889,-16.4060694332747
732,-17.5400568168322,-17.1621470011574,-18.0369435232998,-17.2045665034816,-17.322900790805
733,-18.3311874988345,-18.1849779926739,-18.2202594280879,-17.5230172604675,-18.1618341060949
734,-18.8895638647503,-18.9243768730881,-18.0062863067086,-17.6112781133467,-18.8154672192476
735,-18.8221396773488,-19.0607318777605,-17.8004313509042,-17.5983266525332,-19.2188355445889
736,-18.1168510741959,-18.5753956445452,-17.8287999798895,-17.5946969581767,-19.3094097296563
737,-17.4904822554148,-18.0245162424781,-17.9718401083205,-17.674423002956,-19.0285601514834
738,-17.6208736967515,-17.947771838769,-18.0910964883801,-17.9003900190093,-18.371157161926
739,-18.2154467336253,-18.2339029279481,-18.2082321281143,-18.2788941358232,-17.758164397453
740,-18.5198032934662,-18.4614470582309,-18.4208153594668,-18.7882381677336,-17.8097029215744
741,-18.2157108665578,-18.4665425816438,-18.7301486029821,-19.3444583984277,-18.6557265953462
742,-17.7452958526049,-18.5348131627864,-18.9700040603613,-19.7560835040349,-19.5752333812265
743,-17.5447461789494,-18.9323483602956,-18.9782859181327,-19.8437573287978,-19.8644157443737
744,-17.4657493523244,-19.4649817113607,-18.7418983500464,-19.5914996115278,-19.549137196061
745,-17.1102516524581,-19.7414410914419,-18.3138668861918,-19.0554732118561,-18.9722490478711
746,-16.3945474507439,-19.5898029666256,-17.8207487145818,-18.350096282787,-18.4104995994462
747,-15.7312721395972,-19.1846339393583,-17.5043920892156,-17.6809972431373,-18.0345392186517
748,-15.5766417237934,-18.730923751984,-17.6167682542194,-17.2618131168345,-18.0057024750591
749,-16.2777533592785,-18.4269118474652,-18.3244001026254,-17.2631331058105,-18.419972392084
750,-17.4832586092029,-18.4276304969199,-19.2468745501048,-17.5800068340537,-18.9550312148214
