Year,gaps,c14_age,c14_sig
-1,0 ,1038,14 
-2,1 ,1051,11 
-3,2 ,1056,11 
-4,3 ,1069,10 
-5,4 ,1069,12 
-6,5 ,1065,11 
-7,6 ,1079,13 
-8,7 ,1092,13 
-9,8 ,1085,13 
-10,9 ,1068,18 
-11,10 ,1058,13 
-12,11 ,1040,11 
-13,12 ,1069,13 
-14,13 ,1049,13 
-15,14 ,1081,13 
-16,15 ,1067,13 
-17,16 ,1045,18 
-18,17 ,1040,20 
-19,18 ,1039,20 
-20,19 ,1026,20 
-21,20 ,1017,22 
-22,21 ,1027,11 
-24,23 ,1025,24 
-25,24 ,1035,14 
-26,25 ,1048,21 
-27,26 ,1061,20 
-28,27 ,1043,20 
-29,28 ,1097,21 
-30,29 ,1115,22 
-31,30 ,1103,21 
-36,35 ,1136,22 
