,datno,setno,division,subdivision,calage,calspan,calsigI,calsigD,calsigC,calseqno,c14age,c14sig,c14addsig,c14mulsig,ReservoirAge,ReservoirSig,labid,Date_Modified,F,sdF
1,1,1,1,0,960,1,0,0,0,1,1100.39862,14.4654323,0,1,0,0,ALT02,01/11/2023,0.872,0.0016
2,2,1,1,0,959,1,0,0,0,2,1106.673354,14.57142689,0,1,0,0,ALT02,01/11/2023,0.8713,0.0016
3,3,1,1,0,958,1,0,0,0,3,1100.312422,14.49552283,0,1,0,0,ALT02,01/11/2023,0.872,0.0016
4,4,1,1,0,957,1,0,0,0,4,1044.57449,14.43080343,0,1,0,0,ALT02,01/11/2023,0.8781,0.0016
5,5,1,1,0,956,1,0,0,0,5,1000.036644,14.4336496,0,1,0,0,ALT02,01/11/2023,0.8829,0.0016
6,6,1,1,0,955,1,0,0,0,6,1033.492568,16.59351554,0,1,0,0,ALT02,01/11/2023,0.8793,0.0018
7,7,1,1,0,954,1,0,0,0,7,1028.299804,16.68011938,0,1,0,0,ALT02,01/11/2023,0.8798,0.0018
8,8,1,1,0,953,1,0,0,0,8,1027.055993,16.06735924,0,1,0,0,ALT02,01/11/2023,0.88,0.0018
9,9,1,1,0,952,1,0,0,0,9,1026.030017,16.2954681,0,1,0,0,ALT02,01/11/2023,0.8801,0.0018
10,10,1,1,0,951,1,0,0,0,10,1034.846893,15.94140133,0,1,0,0,ALT02,01/11/2023,0.8791,0.0017
11,11,1,1,0,950,1,0,0,0,11,1035.697931,16.66972874,0,1,0,0,ALT02,01/11/2023,0.879,0.0018
12,12,1,2,0,960,1,0,0,0,1,1087.639118,19.38640569,0,1,0,0,MON05,01/11/2023,0.8734,0.0021
13,13,1,2,0,959,1,0,0,0,2,1118.332117,19.66334275,0,1,0,0,MON05,01/11/2023,0.87,0.0021
14,14,1,2,0,958,1,0,0,0,3,1093.792361,19.76232116,0,1,0,0,MON05,01/11/2023,0.8727,0.0021
15,15,1,2,0,957,1,0,0,0,4,1044.758411,19.71083695,0,1,0,0,MON05,01/11/2023,0.878,0.0022
16,16,1,2,0,956,1,0,0,0,5,989.5985139,19.53419601,0,1,0,0,MON05,01/11/2023,0.8841,0.0021
17,17,1,2,0,955,1,0,0,0,6,1035.788276,19.83120692,0,1,0,0,MON05,01/11/2023,0.879,0.0022
18,18,1,2,0,954,1,0,0,0,7,976.4062868,19.57257906,0,1,0,0,MON05,01/11/2023,0.8855,0.0022
19,19,1,2,0,953,1,0,0,0,8,1000.617268,19.48225414,0,1,0,0,MON05,01/11/2023,0.8829,0.0021
20,20,1,2,0,952,1,0,0,0,9,1001.546084,19.40045698,0,1,0,0,MON05,01/11/2023,0.8828,0.0021
21,21,1,2,0,951,1,0,0,0,10,1062.6439,19.5675827,0,1,0,0,MON05,01/11/2023,0.8761,0.0021
22,22,1,2,0,950,1,0,0,0,11,1048.77833,19.46143845,0,1,0,0,MON05,01/11/2023,0.8776,0.0021
